1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
43, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
44, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
45, philipsruins:underground_structures, HEADING, header:ignore, 0, 0, 0
46, philipsruins:underground_structures, MONSTER, minecraft:wither_skeleton, 10, 1, 5
47, philipsruins:underground_structures, MONSTER, mekanismadditions:baby_wither_skeleton, 10, 1, 3
48, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
49, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
50, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
51, philipsruins:field_stone_ruins, HEADING, header:ignore, 0, 0, 0
52, philipsruins:field_stone_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
53, philipsruins:field_stone_ruins, MONSTER, minecraft:zombie, 12, 5, 12
54, philipsruins:field_stone_ruins, MONSTER, mekanismadditions:baby_skeleton, 10, 1, 5
55, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
56, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
57, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
58, terralith:zpointer/terralith_amethyst_canyon, HEADING, header:ignore, 0, 0, 0
59, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
60, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
61, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
62, incendium:pipeline, HEADING, header:ignore, 0, 0, 0
63, structory:graveyard, HEADING, header:ignore, 0, 0, 0
64, terralith:zpointer/minecraft_warm_ocean, HEADING, header:ignore, 0, 0, 0
65, philipsruins:desert_structures, HEADING, header:ignore, 0, 0, 0
66, philipsruins:desert_structures, MONSTER, minecraft:husk, 15, 5, 15
67, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
68, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
69, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
70, philipsruins:ancient_crypt, HEADING, header:ignore, 0, 0, 0
71, philipsruins:sculk_dungeon, HEADING, header:ignore, 0, 0, 0
72, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
73, terralith:zpointer/terralith_siberian_taiga, HEADING, header:ignore, 0, 0, 0
74, terralith:zpointer/terralith_mountain_steppe, HEADING, header:ignore, 0, 0, 0
75, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
76, terralith:zpointer/minecraft_snowy_taiga, HEADING, header:ignore, 0, 0, 0
77, terralith:zpointer/terralith_forested_highlands, HEADING, header:ignore, 0, 0, 0
78, ava:outpost_forest, HEADING, header:ignore, 0, 0, 0
79, terralith:zpointer/terralith_blooming_plateau, HEADING, header:ignore, 0, 0, 0
80, ava:yellow_robot_container, HEADING, header:ignore, 0, 0, 0
81, terralith:zpointer/minecraft_beach, HEADING, header:ignore, 0, 0, 0
82, terralith:zpointer/terralith_shield, HEADING, header:ignore, 0, 0, 0
83, philipsruins:ancient_ruins, HEADING, header:ignore, 0, 0, 0
84, philipsruins:ancient_ruins, MONSTER, minecraft:zombie, 12, 5, 12
85, philipsruins:pumpkin_ruins, HEADING, header:ignore, 0, 0, 0
86, philipsruins:pumpkin_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
87, philipsruins:pumpkin_ruins, MONSTER, minecraft:zombie, 12, 5, 12
88, philipsruins:pumpkin_ruins, MONSTER, mekanismadditions:baby_skeleton, 10, 1, 5
89, philipsruins:badlands_start_dungeon, HEADING, header:ignore, 0, 0, 0
90, ava:outpost_snow, HEADING, header:ignore, 0, 0, 0
91, terralith:zpointer/terralith_ancient_sands, HEADING, header:ignore, 0, 0, 0
92, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
93, terralith:zpointer/minecraft_frozen_peaks, HEADING, header:ignore, 0, 0, 0
94, terralith:zpointer/minecraft_stony_peaks, HEADING, header:ignore, 0, 0, 0
95, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
96, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
97, terralith:zpointer/minecraft_lush_caves, HEADING, header:ignore, 0, 0, 0
98, terralith:zpointer/minecraft_savanna_plateau, HEADING, header:ignore, 0, 0, 0
99, terralith:zpointer/terralith_warped_mesa, HEADING, header:ignore, 0, 0, 0
100, philipsruins:rare_ruin, HEADING, header:ignore, 0, 0, 0
101, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
102, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
103, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
104, structory:outcast_villager_desert, HEADING, header:ignore, 0, 0, 0
105, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
106, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
107, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
108, terralith:zpointer/minecraft_taiga, HEADING, header:ignore, 0, 0, 0
109, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
110, terralith:zpointer/terralith_alpha_islands, HEADING, header:ignore, 0, 0, 0
111, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
112, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
113, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
114, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
115, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
116, terralith:zpointer/minecraft_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
117, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
118, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
119, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
120, incendium:nether_reactor, HEADING, header:ignore, 0, 0, 0
121, structory:old_manor, HEADING, header:ignore, 0, 0, 0
122, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
123, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
124, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
125, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
126, incendium:quartz_kitchen, HEADING, header:ignore, 0, 0, 0
127, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
128, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
129, philipsruins:sealedruinedghaststatue1, HEADING, header:ignore, 0, 0, 0
130, terralith:zpointer/terralith_arid_highlands, HEADING, header:ignore, 0, 0, 0
131, terralith:zpointer/minecraft_mushroom_fields, HEADING, header:ignore, 0, 0, 0
132, terralith:zpointer/terralith_orchid_swamp, HEADING, header:ignore, 0, 0, 0
133, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
134, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
135, incendium:abandoned_tower, HEADING, header:ignore, 0, 0, 0
136, terralith:zpointer/terralith_alpine_highlands, HEADING, header:ignore, 0, 0, 0
137, terralith:zpointer/minecraft_eroded_badlands, HEADING, header:ignore, 0, 0, 0
138, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
139, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
140, ava:blue_robot_container, HEADING, header:ignore, 0, 0, 0
141, terralith:zpointer/minecraft_meadow, HEADING, header:ignore, 0, 0, 0
142, terralith:zpointer/terralith_glacial_chasm, HEADING, header:ignore, 0, 0, 0
143, terralith:zpointer/terralith_lavender_forest, HEADING, header:ignore, 0, 0, 0
144, nullscape:phantom_nest, HEADING, header:ignore, 0, 0, 0
145, terralith:zpointer/terralith_tropical_jungle, HEADING, header:ignore, 0, 0, 0
146, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
147, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
148, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
149, terralith:zpointer/terralith_yosemite_cliffs, HEADING, header:ignore, 0, 0, 0
150, incendium:ruined_lab, HEADING, header:ignore, 0, 0, 0
151, terralith:spire, HEADING, header:ignore, 0, 0, 0
152, philipsruins:start_nether_dungeon, HEADING, header:ignore, 0, 0, 0
153, terralith:zpointer/minecraft_stony_shore, HEADING, header:ignore, 0, 0, 0
154, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
155, terralith:zpointer/terralith_volcanic_crater, HEADING, header:ignore, 0, 0, 0
156, philipsruins:level_three_ruins, HEADING, header:ignore, 0, 0, 0
157, terralith:zpointer/terralith_hot_shrubland, HEADING, header:ignore, 0, 0, 0
158, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
159, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
160, ava:outpost_ocean, HEADING, header:ignore, 0, 0, 0
161, terralith:zpointer/terralith_scarlet_mountains, HEADING, header:ignore, 0, 0, 0
162, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
163, philipsruins:ocean_fortress, HEADING, header:ignore, 0, 0, 0
164, philipsruins:ocean_fortress, MONSTER, minecraft:guardian, 10, 2, 3
165, philipsruins:ocean_fortress, MONSTER, minecraft:drowned, 10, 5, 9
166, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
167, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
168, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
169, terralith:zpointer/terralith_yosemite_lowlands, HEADING, header:ignore, 0, 0, 0
170, terralith:zpointer/terralith_wintry_forest, HEADING, header:ignore, 0, 0, 0
171, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
172, philipsruins:level_one_ruins, HEADING, header:ignore, 0, 0, 0
173, philipsruins:level_one_ruins, MONSTER, minecraft:skeleton, 10, 2, 10
174, philipsruins:level_one_ruins, MONSTER, minecraft:zombie, 12, 5, 12
175, philipsruins:level_one_ruins, MONSTER, mekanismadditions:baby_skeleton, 10, 1, 5
176, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
177, philipsruins:field_stone_ruins_rocks, HEADING, header:ignore, 0, 0, 0
178, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
179, philipsruins:lost_soul_dungeon, HEADING, header:ignore, 0, 0, 0
180, philipsruins:lost_soul_dungeon, MONSTER, minecraft:wither_skeleton, 10, 1, 5
181, philipsruins:lost_soul_dungeon, MONSTER, mekanismadditions:baby_wither_skeleton, 10, 1, 3
182, terralith:zpointer/terralith_warm_river, HEADING, header:ignore, 0, 0, 0
183, terralith:zpointer/terralith_caldera, HEADING, header:ignore, 0, 0, 0
184, terralith:zpointer/terralith_skylands, HEADING, header:ignore, 0, 0, 0
185, terralith:zpointer/terralith_alpha_islands_winter, HEADING, header:ignore, 0, 0, 0
186, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
187, philipsruins:badlands_structures, HEADING, header:ignore, 0, 0, 0
188, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
189, philipsruins:bone_dungeon, HEADING, header:ignore, 0, 0, 0
190, philipsruins:bone_dungeon, MONSTER, minecraft:skeleton, 10, 2, 8
191, philipsruins:bone_dungeon, MONSTER, minecraft:husk, 10, 5, 10
192, philipsruins:bone_dungeon, MONSTER, mekanismadditions:baby_skeleton, 10, 1, 4
193, terralith:zpointer/terralith_skylands_autumn, HEADING, header:ignore, 0, 0, 0
194, structory:boat, HEADING, header:ignore, 0, 0, 0
195, terralith:zpointer/minecraft_swamp, HEADING, header:ignore, 0, 0, 0
196, philipsruins:end_ruins, HEADING, header:ignore, 0, 0, 0
197, philipsruins:nether_lava_ruins, HEADING, header:ignore, 0, 0, 0
198, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
199, philipsruins:end_gate_fortress, HEADING, header:ignore, 0, 0, 0
200, philipsruins:end_gate_fortress, MONSTER, minecraft:enderman, 15, 5, 15
201, philipsruins:end_gate_fortress, MONSTER, mekanismadditions:baby_enderman, 10, 3, 8
202, terralith:zpointer/terralith_snowy_shield, HEADING, header:ignore, 0, 0, 0
203, terralith:zpointer/terralith_sakura_grove, HEADING, header:ignore, 0, 0, 0
204, terralith:zpointer/terralith_cold_shrubland, HEADING, header:ignore, 0, 0, 0
205, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
206, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
207, structory:taiga_ruin_surface, HEADING, header:ignore, 0, 0, 0
208, ava:dark_blue_robot_container, HEADING, header:ignore, 0, 0, 0
209, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
210, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
211, structory:firetower, HEADING, header:ignore, 0, 0, 0
212, philipsruins:start_nether_ruin, HEADING, header:ignore, 0, 0, 0
213, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
214, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
215, terralith:zpointer/minecraft_jungle, HEADING, header:ignore, 0, 0, 0
216, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
217, incendium:sanctum, HEADING, header:ignore, 0, 0, 0
218, incendium:sanctum, MONSTER, minecraft:skeleton, 10, 1, 1
219, incendium:sanctum, MONSTER, mekanismadditions:baby_skeleton, 10, 1, 1
220, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
221, terralith:zpointer/minecraft_birch_forest, HEADING, header:ignore, 0, 0, 0
222, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
223, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
224, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
225, structory:jungle_ruin, MONSTER, mekanismadditions:baby_creeper, 10, 2, 2
226, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
227, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
228, incendium:piglin_village, HEADING, header:ignore, 0, 0, 0
229, structory:ruin_grassy, HEADING, header:ignore, 0, 0, 0
230, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
231, terralith:zpointer/terralith_gravel_beach, HEADING, header:ignore, 0, 0, 0
232, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
233, philipsruins:antiquus_crypta, HEADING, header:ignore, 0, 0, 0
234, philipsruins:antiquus_crypta, MONSTER, minecraft:skeleton, 15, 5, 15
235, philipsruins:antiquus_crypta, MONSTER, minecraft:zombie, 15, 7, 15
236, philipsruins:antiquus_crypta, MONSTER, mekanismadditions:baby_skeleton, 10, 3, 8
237, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
238, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
239, structory:taiga_ruin_underground, HEADING, header:ignore, 0, 0, 0
240, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
241, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
242, terralith:zpointer/terralith_skylands_summer, HEADING, header:ignore, 0, 0, 0
243, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
244, terralith:zpointer/minecraft_deep_cold_ocean, HEADING, header:ignore, 0, 0, 0
245, terralith:zpointer/minecraft_deep_warm_ocean, HEADING, header:ignore, 0, 0, 0
246, philipsruins:lost_soul_city, HEADING, header:ignore, 0, 0, 0
247, philipsruins:lost_soul_city, MONSTER, minecraft:wither_skeleton, 10, 1, 2
248, philipsruins:lost_soul_city, MONSTER, mekanismadditions:baby_wither_skeleton, 10, 1, 1
249, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
250, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
251, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
252, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/terralith_snowy_maple_forest, HEADING, header:ignore, 0, 0, 0
254, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
255, terralith:zpointer/minecraft_windswept_savanna, HEADING, header:ignore, 0, 0, 0
256, terralith:zpointer/minecraft_windswept_hills, HEADING, header:ignore, 0, 0, 0
257, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
258, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
259, philipsruins:level_two_ruins, HEADING, header:ignore, 0, 0, 0
260, terralith:zpointer/minecraft_deep_frozen_ocean, HEADING, header:ignore, 0, 0, 0
261, philipsruins:level_two_ruins_pool, HEADING, header:ignore, 0, 0, 0
262, philipsruins:ocean_ruins, HEADING, header:ignore, 0, 0, 0
263, terralith:zpointer/terralith_moonlight_valley, HEADING, header:ignore, 0, 0, 0
264, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
265, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
266, terralith:zpointer/terralith_basalt_cliffs, HEADING, header:ignore, 0, 0, 0
267, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
268, terralith:zpointer/terralith_ice_marsh, HEADING, header:ignore, 0, 0, 0
269, terralith:zpointer/terralith_rocky_mountains, HEADING, header:ignore, 0, 0, 0
270, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
271, ava:outpost_desert, HEADING, header:ignore, 0, 0, 0
272, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
273, terralith:zpointer/minecraft_deep_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
274, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
275, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
276, terralith:zpointer/terralith_brushland, HEADING, header:ignore, 0, 0, 0
277, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
279, terralith:zpointer/terralith_desert_oasis, HEADING, header:ignore, 0, 0, 0
